id,text,category,airlLevel,isCritical,scope,expectations,commentPrompt,createdAt,updatedAt
550e8400-e29b-41d4-a716-446655440011,Build Hypothesis on possible needs in market,Market Research,1,TRUE,project,"{""Assessed the problem/need, looked for existing solutions and short comings, solution uniqueness""}",Hypothesis Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440012,Analyze applications within different industries,Market Research,1,TRUE,project,"{""Analyse the solution with various industries to check if solution has diverse use cases. Heatmap created.""}",Industry Heatmap,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440013,Define system architecture,Technology,2,TRUE,project,"{""Create high-level block diagrams for mechanics, electronics, sensing and software.""}",System Architecture Diagram,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440014,Specify target use-cases & KPIs,Product Engineering,2,TRUE,project,"{""Define metrics like accuracy, payload, speed, uptime, latency and safety thresholds.""}",KPI Specification Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440015,Identify candidate components,Product Engineering,2,TRUE,project,"{""List candidate sensors, actuators, controllers, and compute platforms with reasons.""}",Component List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440016,Develop physics & control models,Technology,2,TRUE,project,"{""Kinematics, dynamics, control-loop models and failure mode assumptions.""}",Simulation Models,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440017,Simulate core scenarios,Technology,2,TRUE,project,"{""Run simulations for representative tasks (motion, SLAM, grasping) and log results.""}",Simulation Results,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440018,Initial BOM & cost estimate,Product Engineering,2,TRUE,project,"{""Rough bill of materials and cost drivers for prototyping.""}",Preliminary BOM,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440019,Preliminary IP review,Technology,2,TRUE,project,"{""Search for blocking patents and assess freedom-to-operate concerns.""}",IP Clearance Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440020,Preliminary hazard list,Product Engineering,2,TRUE,project,"{""List hazards and preliminary mitigation ideas at system level.""}",Hazard Analysis,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440021,Engage potential users/operators,Engagement,2,TRUE,project,"{""Collect feedback on concept fit and constraints.""}",User Feedback Summary,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440022,Teams setup and functional (TRL 2),Organization Structure,2,TRUE,project,"{""Team required to be onboarded and performing the activity to support the stage gate.""}",Updated Team List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440023,Market research derived from secondary sources,Market Research,2,TRUE,project,"{""Look for white papers, industry study, specific research institute studies, govt agency reports.""}",Market Research Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440024,Brief familiarity with market and customers,Engagement,2,TRUE,project,"{""Market Snapshot, Customer Problem Statements, Competitor Landscape, Stakeholder Map.""}",Customer Journey Map,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440025,Specific problem/need description,Technology,2,TRUE,project,"{""Conversion of Need to Solution Requirement with targeted InScope and Out-of-Scope.""}",Requirements Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440026,Product/solution ideas high level view,Technology,2,TRUE,project,"{""High level solution view with integration to usage environment.""}",Solution Concept Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440027,Build breadboard subsystems,Technology,3,TRUE,project,"{""Mechanical mock-ups, actuator test rigs, sensor test harnesses.""}",Photo of Setup,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440028,Implement basic embedded control,Technology,3,TRUE,project,"{""Low-level drivers, control loops (PID), and safety watchdogs.""}",Code Repository Link,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440029,Prototype perception pipeline,Technology,3,TRUE,project,"{""Basic sensor fusion, object detection or mapping demos.""}",Demo Video Link,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440030,Hardware-in-the-loop (HIL) tests,Technology,3,TRUE,project,"{""Integrate controller with simulated plant to validate loop behavior.""}",Test Logs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440031,Controlled lab experiments,Technology,3,TRUE,project,"{""Demonstrate motion, sensing and closed-loop control under lab conditions.""}",Experiment Results,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440032,Collect test datasets,Technology,3,TRUE,project,"{""Record sensor logs, video, and telemetry for analysis.""}",Dataset Link,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440033,Implement emergency stop & interlocks,Technology,3,TRUE,project,"{""Physical and software E-stop and current/temperature monitoring.""}",Safety Implementation Pics,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440034,Quantitative performance comparison,Technology,3,TRUE,project,"{""Compare measured performance to TRL2 simulation targets.""}",Performance Comparison Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440035,Teams setup and functional (TRL 3),Organization Structure,3,TRUE,project,"{""People performing multiple role is normal, but accountability to be clear.""}",Role Definitions,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440036,Assemble test reports & videos,Technology,3,TRUE,project,"{""Detailed test logs, analysis and demo media for reviewers.""}",Test Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440037,Initiated customer discovery (Primary Research),Engagement,3,TRUE,project,"{""Define Target Interviewees, Develop Interview Protocol, Document interview responses and Analyze.""}",Interview Transcripts,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440038,Clear problem & solution hypotheses,Product Engineering,3,TRUE,project,"{""Initial customer / market requirements finalised and baselined.""}",Requirements Baseline,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440039,Industry and Market Benchmarking,Engagement,3,TRUE,project,"{""Competitors providing similar products or substitutes identified and analysed.""}",Competitor Analysis,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440040,Build integrated lab prototype,Product Engineering,4,TRUE,project,"{""Assemble mechanical structure, actuators, sensors and control electronics. Consider A/B0 sample.""}",Prototype Photos,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440041,Integrate middleware & control stack,Product Engineering,4,TRUE,project,"{""ROS nodes, real-time controllers, driver stacks and logging.""}",Architecture Diagram,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440042,Extended lab validation tests,Product Engineering,4,TRUE,project,"{""Repeatability, endurance (short duration), and closed-loop stability tests.""}",Validation Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440043,Expanded hazard analysis (HAZOP),Product Engineering,4,TRUE,project,"{""Detailed hazards, failure modes, and mitigations.""}",HAZOP Document,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440044,Basic reliability & MTBF estimation,Product Engineering,4,TRUE,project,"{""Run accelerated or cyclic tests to identify failure modes.""}",Reliability Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440045,Preliminary EMC/EMI checks,Product Engineering,4,TRUE,project,"{""Basic checks for interference between electronics.""}",EMC Check Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440046,Design for prototyping & assembly review,Product Engineering,4,TRUE,project,"{""Assess manufacturability of prototype components and assemblies.""}",DFM Review Notes,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440047,System integration & test plan,Product Engineering,4,TRUE,project,"{""Document test procedures, expected outcomes and acceptance criteria.""}",Test Plan,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440048,Early operator interactions,Engagement,4,TRUE,project,"{""Have operators run the prototype in lab to gather usability feedback.""}",Usability Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440049,Teams setup and functional (TRL 4),Organization Structure,4,TRUE,project,"{""Work definitions more refined and non overlapping areas covered.""}",Org Chart,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440050,Customer Contacts (Realistic market),Engagement,4,TRUE,project,"{""Contacts and feedback are established with several possible customers/users (5-10 B2B).""}",Customer Contact List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440051,Problem and need confirmed,Engagement,4,TRUE,project,"{""Segment catering Reusable Solution, Interview documents and consolidation of needs.""}",Validation Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440052,Market sizing and Customer segmentation,Market Research,4,TRUE,project,"{""Develop various target personas and markets to build rationale.""}",Market Segmentation Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440053,Primary product hypothesis defined,Product Engineering,4,TRUE,project,"{""Creation and baselining of Product hypothesis with traceability to customer needs.""}",Product Hypothesis,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440054,Identify industry differentiation strategy,Market Research,4,TRUE,project,"{""Business case document with benefits management plan.""}",differentiation Strategy,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440055,Define relevant test environment,Product Engineering,5,TRUE,project,"{""Simulated field, mock-up facilities or pilot area that mimics real conditions.""}",Test Environment Setup,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440056,Harden prototype for relevant environment,Product Engineering,5,TRUE,project,"{""Environmental sealing, shock/vibration improvements and packaging. Bx samples.""}",Hardening Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440057,Field-relevant performance tests,Product Engineering,5,TRUE,project,"{""Navigation, manipulation, perception tests in realistic settings.""}",Field Test Results,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440058,Stress & corner-case testing,Product Engineering,5,TRUE,project,"{""Test under lighting, surface, payload and communication extremes.""}",Stress Test Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440059,Advanced safety system tests,Product Engineering,5,TRUE,project,"{""Interlocks, redundant sensors, safe stop behavior in realistic failure modes.""}",Safety Test Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440060,Begin regulatory and standards mapping,Product Engineering,5,TRUE,project,"{""Identify applicable robotics, EMC, electrical and safety standards.""}",Standards List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440061,User acceptance testing (early),Engagement,5,TRUE,project,"{""Operators/test users run scenarios and provide structured feedback.""}",UAT Feedback,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440062,Collect field datasets & failure logs,Product Engineering,5,TRUE,project,"{""Gather data to analyze performance gaps and improve models.""}",Field Data Logs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440063,Implement design iterations,Product Engineering,5,TRUE,project,"{""Hardware and software updates based on field results.""}",Change Log,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440064,Teams setup and functional (TRL 5),Organization Structure,5,TRUE,project,"{""More clearer job definitions and accountability, engagement and governance management.""}",Governance Structure,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440065,Establish Product-Market fit,Engagement,5,TRUE,project,"{""Frozen Requirement from multiple customers can lead to one/few solutions with high reusability.""}",PMF Evidence,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440066,Initial customer(s) co-creation,Engagement,5,TRUE,project,"{""Paid POC MOU signed/confirmed through formal communications.""}",Signed MOU,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440067,Build pilot-scale prototypes,Product Engineering,6,TRUE,project,"{""Multiple units or a more polished single unit. C sample stage with line preparation.""}",Pilot Unit Photos,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440068,Run operational scenario demonstrations,Product Engineering,6,TRUE,project,"{""Execute end-to-end tasks in the relevant environment with realistic constraints.""}",Demo Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440069,Extended user trials,Engagement,6,TRUE,project,"{""Operators use system across multiple days and provide feedback.""}",Trial Feedback,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440070,Third-party safety review,Product Engineering,6,TRUE,project,"{""Independent safety assessment and gap identification.""}",Safety Assessment,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440071,Long-duration reliability tests,Product Engineering,6,TRUE,project,"{""Run prototypes for extended hours/days to collect MTBF data.""}",Reliability Data,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440072,Develop maintenance & troubleshooting procedures,Product Engineering,6,TRUE,project,"{""Create manuals, spare parts lists and maintenance schedules.""}",Maintenance Manual,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440073,Preliminary supply chain & vendor sourcing,Product Engineering,6,TRUE,project,"{""Identify long-lead items and alternative suppliers for production.""}",Vendor List,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440074,Begin formal compliance planning,Product Engineering,6,TRUE,project,"{""Plan for certifications relevant to deployment region.""}",Compliance Plan,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440075,Update cost model and TCO estimates,Product Engineering,6,TRUE,project,"{""Refine BOM, manufacturing and operational cost estimates.""}",Cost Model,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440076,Teams setup and functional (TRL 6),Organization Structure,6,TRUE,project,"{""Operational organization with clear ownership, contracts.""}",Ops Team Chart,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440077,Testing of product by customers (Value confirmed),Engagement,6,TRUE,project,"{""Test plan, Test data collection, Customer Training & support during validation.""}",Validation Sign-off,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440078,Partnerships formed with key stakeholders,Product Engineering,6,TRUE,project,"{""Key suppliers, alternate suppliers identification. Agreement with key suppliers.""}",Partnership Agreements,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440079,Initiated structured business development,Organization Structure,6,TRUE,project,"{""Initial business model & sales strategy developed; Vetted by outside project expertise.""}",Sales Strategy Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440080,Deploy prototype in live operational environment,Product Engineering,7,TRUE,project,"{""Install and operate prototype in customer or real-world environment under supervision.""}",Deployment Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440081,Integrate with customer systems & workflows,Product Engineering,7,TRUE,project,"{""Interfaces to existing software/hardware and operational processes.""}",Integration Specs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440082,Measure mission-level KPIs,Product Engineering,7,TRUE,project,"{""Task completion rate, uptime, mean time to repair, safety incidents.""}",KPI Dashboard,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440083,On-site support & monitoring,Product Engineering,7,TRUE,project,"{""Provide engineers on-site for debugging, telemetry and rapid fixes.""}",Support Log,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440084,Operator training program,Engagement,7,TRUE,project,"{""Train end-users and technicians with SOPs and quick reference guides.""}",Training Materials,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440085,Operational data collection & telemetry,Product Engineering,7,TRUE,project,"{""Real-time logs, remote diagnostics and anomaly reporting.""}",Telemetry Data,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440086,Operational safety drills & incident response,Product Engineering,7,TRUE,project,"{""Run emergency procedures with local teams.""}",Safety Drill Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440087,Structured user & stakeholder feedback capture,Engagement,7,TRUE,project,"{""Collect qualitative & quantitative feedback for improvements. CRM practices.""}",Feedback Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440088,Implement field-driven fixes,Product Engineering,7,TRUE,project,"{""Rapid patch cycles and hardware adjustments as needed.""}",Release Notes,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440089,Teams setup and functional (TRL 7),Organization Structure,7,TRUE,project,"{""Teams required to be onboarded and performing the activity to support the stage gate.""}",Team Status,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440090,Customer(s) agreements in place,Engagement,7,TRUE,project,"{""Talks finalized with multiple customers towards engagement (sales/Paid-POCs).""}",Customer Agreements,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440091,First sales and/or test sales,Engagement,7,TRUE,project,"{""Signed concise and clear customer agreement, Testimonials and Feedback collection.""}",Sales Proof,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440092,Multiple paid PoC's,Engagement,7,TRUE,project,"{""Management of configuration for each of Paid POCs, conclusion signoff of user acceptance.""}",PoC Sign-offs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440093,Customers engaged in product qualifications,Product Engineering,7,TRUE,project,"{""Refinement of Product, Warranty and Service concepts based on extended validation.""}",Refinement Plan,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440094,Ramp up of business development,Engagement,7,TRUE,project,"{""Actions driven towards business development, activities, artifacts and schedule.""}",BizDev Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440095,Finalize production-intent design,Product Engineering,8,TRUE,project,"{""Locked-down mechanical, electrical, software and packaging designs.""}",Design Freeze Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440096,Execute full qualification tests,Product Engineering,8,TRUE,project,"{""Environmental, EMC, safety, functional and performance qualification tests.""}",Qualification Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440097,Quality management system (QMS) readiness,Product Engineering,8,TRUE,project,"{""Processes for production QA, change control and traceability.""}",QMS Docs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440098,Pilot manufacturing run,Product Engineering,8,TRUE,project,"{""Small batch production to validate assembly, yields and test fixtures.""}",Pilot Run Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440099,Finalize suppliers & contracts,Product Engineering,8,TRUE,project,"{""Long-term agreements, capacity commitments and lead-time guarantees.""}",Supplier Contracts,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440100,Complete certification testing,Product Engineering,8,TRUE,project,"{""Obtain required certifications and documentation for intended markets.""}",Certificates,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440101,Field support & logistics plan,Product Engineering,8,TRUE,project,"{""Spares, service network and warranty policies.""}",Logistics Plan,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440102,Complete user manuals & technical docs,Product Engineering,8,TRUE,project,"{""Installation guides, safety manuals, software release notes.""}",User Manuals,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440103,Train production & support teams,Organization Structure,8,TRUE,project,"{""Manufacturing operators, test engineers and field technicians.""}",Training Records,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440104,Teams setup and functional (TRL 8),Organization Structure,8,TRUE,project,"{""Teams required to be onboarded and performing the activity to support the stage gate.""}",Team Status,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440105,Payment willingness confirmed,Engagement,8,TRUE,project,"{""Actively monitor and confirm payment from a sufficient percentage of initial customers.""}",Revenue Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440106,Real buyers/economic decision makers identified,Engagement,8,TRUE,project,"{""Document the internal decision-making process within the customer's organization.""}",Stakeholder Analysis,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440107,Business development and sales mature,Engagement,8,TRUE,project,"{""Standardize sales model & organization, CRM systems deployed.""}",Sales Process Doc,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440108,Full-scale production ramp,Product Engineering,9,TRUE,project,"{""Manufacturing at planned volumes with quality metrics met.""}",Production Metrics,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440109,Widespread deployment & operations,Product Engineering,9,TRUE,project,"{""Systems running in customer sites across intended use cases.""}",Deployment Map,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440110,Operational monitoring & analytics,Product Engineering,9,TRUE,project,"{""SLA monitoring, fleet health telemetry and remote updates.""}",Analytics Dashboard,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440111,Mature service & spare parts network,Product Engineering,9,TRUE,project,"{""Regional support centers, spares logistics and RMA processes.""}",Service Network Map,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440112,Teams setup and functional (TRL 9),Organization Structure,9,TRUE,project,"{""Teams required to be onboarded and performing the activity.""}",Team Status,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440113,Post-deployment enhancements & roadmap,Product Engineering,9,TRUE,project,"{""Product updates, feature roadmap and lifecycle planning.""}",Product Roadmap,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440114,Ongoing regulatory compliance & reporting,Product Engineering,9,TRUE,project,"{""Maintain certifications and report incidents as required.""}",Compliance Logs,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440115,Validate business model & TCO,Engagement,9,TRUE,project,"{""Confirm revenue, cost and ROI assumptions in the field.""}",TCO Report,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440116,Operational cybersecurity & patch management,Product Engineering,9,TRUE,project,"{""Secure update processes, vulnerability management and incident response.""}",Security Audit,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440117,Customer satisfaction & retention tracking,Engagement,9,TRUE,project,"{""NPS, support metrics and renewal rates.""}",NPS Score,2026-01-22 10:00:00,2026-01-22 10:00:00
550e8400-e29b-41d4-a716-446655440118,Program review & long-term operations plan,Organization Structure,9,TRUE,project,"{""Executive review of program health and scaling strategy.""}",Exec Review Deck,2026-01-22 10:00:00,2026-01-22 10:00:00
